time,from,to,message
2020-08-01 01:44:05,lengmo,Shutd0wn,
2020-08-01 01:44:39,lengmo,Shutd0wn,云境
2020-08-01 01:51:15,Shutd0wn,lengmo,[Grin]
2020-08-01 01:53:08,lengmo,Shutd0wn,靶场是个大趋势
2020-08-01 01:54:51,lengmo,Shutd0wn,永信平台喝界面比我们好，我们场景比他们好
2020-08-03 09:11:42,lengmo,Shutd0wn,那个二组三组组长调薪的事情，你看咋弄呢··我建议就参照王堰的比例？差不多平衡就行
2020-08-03 09:15:07,Shutd0wn,lengmo,恩
2020-08-03 09:15:33,Shutd0wn,lengmo,黄乐好办，略微加些就差不多了。郑嵩差距大了点
2020-08-03 09:18:16,lengmo,Shutd0wn,那你啥建议，回邮件号了
2020-08-03 10:26:45,lengmo,Shutd0wn,
2020-08-04 09:23:13,Shutd0wn,lengmo,安洵项目-投资意向书-200730.DOCX
2020-08-04 09:23:29,Shutd0wn,lengmo,你看下
2020-08-04 09:23:52,Shutd0wn,lengmo,没问题的话倒数第二页打印签字快递给我
2020-08-04 09:31:22,lengmo,Shutd0wn,好
2020-08-04 09:50:36,Shutd0wn,lengmo,签四份
2020-08-04 09:52:28,lengmo,Shutd0wn,嗯
2020-08-04 09:58:54,lengmo,Shutd0wn,你将冯圆圆介绍给沈洋了啊
2020-08-04 09:59:06,Shutd0wn,lengmo,嗯
2020-08-04 09:59:14,Shutd0wn,lengmo,她很热情主动
2020-08-04 09:59:19,lengmo,Shutd0wn,毕竟是小亮女朋友
2020-08-04 09:59:25,lengmo,Shutd0wn,这样是不是不好
2020-08-04 09:59:44,Shutd0wn,lengmo,小亮要去南京会圆圆
2020-08-04 10:01:07,lengmo,Shutd0wn,好丑
2020-08-04 10:01:25,lengmo,Shutd0wn,还问我们有没有攻防的人
2020-08-04 10:01:46,Shutd0wn,lengmo,我跟她说过了，我们也缺人
2020-08-04 10:02:02,lengmo,Shutd0wn,是嘛
2020-08-04 10:02:12,lengmo,Shutd0wn,她在奇安信做啥啊
2020-08-04 10:02:18,lengmo,Shutd0wn,江苏区域负责人啊？
2020-08-04 10:03:06,Shutd0wn,lengmo,涉密和国产化行业江苏负责人
2020-08-04 10:03:20,lengmo,Shutd0wn,好复杂
2020-08-04 10:09:24,Shutd0wn,lengmo,奇安信太大了
2020-08-04 10:10:05,lengmo,Shutd0wn,太乱
2020-08-05 02:11:19,Shutd0wn,lengmo,你那个签字今天来不及吗
2020-08-05 02:12:20,lengmo,Shutd0wn,主要都在路上，一会退房去火车站了
2020-08-05 02:12:37,lengmo,Shutd0wn,下午去镇江，然后镇江结束去扬州
2020-08-05 02:13:44,Shutd0wn,lengmo,嗯
2020-08-05 02:15:17,lengmo,Shutd0wn,我让李萍和我助理商量了，看中途咋打印寄出去
2020-08-05 02:15:50,Shutd0wn,lengmo,那行，尽快吧，我想来得及周五全部弄好发过去
2020-08-05 02:16:00,lengmo,Shutd0wn,嗯
2020-08-05 02:16:07,Shutd0wn,lengmo,中途找个打字店，只打印签字页就行了，四份哈
2020-08-05 02:16:15,Shutd0wn,lengmo,然后车站都有EMS的
2020-08-05 02:16:16,lengmo,Shutd0wn,嗯
2020-08-07 02:38:53,lengmo,Shutd0wn,认识不认识CTF赛棍的，我们现在四川省那个比赛，第一天的题目有点尴尬
2020-08-07 04:21:48,Shutd0wn,lengmo,不认识啊，只认识loubo
2020-08-07 04:50:47,lengmo,Shutd0wn,
2020-08-07 05:06:11,Shutd0wn,lengmo,咋
2020-08-07 05:07:47,lengmo,Shutd0wn,就是四川省大学生竞赛的事情，早上开了会，比赛两天，第一天就是传统的CTF 出题，第二天内网，内网出题我们问题不大，第一天传统的，我们出题，专业度不够，里面有些传统赛棍···出题组意思是看公司能不能找点外面的资源出题
2020-08-07 05:08:18,lengmo,Shutd0wn,凑一凑··需要难一点的题目··
2020-08-07 05:08:31,Shutd0wn,lengmo,嗯，我想想，你也想想
2020-08-07 05:08:57,Shutd0wn,lengmo,萝卜是不是认识
2020-08-07 05:09:07,lengmo,Shutd0wn,我想了几个，第一个 盘古，出 安卓 或者逆行类的题 ，还有就是 蓝莲花  或者 长亭科技
2020-08-07 05:09:16,lengmo,Shutd0wn,这些传统的，他们出这类题目有经验
2020-08-07 05:09:50,Shutd0wn,lengmo,嗯，盘古这个问题不大，下个月初比赛吧？
2020-08-07 05:09:53,lengmo,Shutd0wn,我们怕第一天题目没拦住的话，像川大或者成信工 传统的强队，很快做完了··就有点尴尬
2020-08-07 05:09:59,lengmo,Shutd0wn,嗯··9月初···
2020-08-07 05:10:13,lengmo,Shutd0wn,"WEB 8道
MISC 4道
Reverse 4道
Pwn 4道
Crypto 4道"
2020-08-07 05:10:34,lengmo,Shutd0wn,web 类的题，准备花点钱，让外面的人出··
2020-08-07 05:10:39,Shutd0wn,lengmo,嗯
2020-08-07 05:10:44,lengmo,Shutd0wn,这是第一天题目设置
2020-08-07 05:10:54,Shutd0wn,lengmo,另外也要防范泄题
2020-08-07 05:11:05,lengmo,Shutd0wn,毕竟是四川省大学生的比赛，怕题目简单了，被吐槽
2020-08-07 05:11:37,lengmo,Shutd0wn,出题组的意思是找外面出难的题，主要难那些强队，不至于第一天很快就都做完了
2020-08-07 05:11:46,Shutd0wn,lengmo,提笔侄女可能也参加
2020-08-07 05:11:50,lengmo,Shutd0wn,第二天内网的，我们自己出，这个我们有题
2020-08-07 05:11:57,lengmo,Shutd0wn,她侄女叫啥名字啊
2020-08-07 05:12:01,lengmo,Shutd0wn,我看看在不在名单里
2020-08-07 05:12:27,Shutd0wn,lengmo,忘了
2020-08-07 05:12:58,lengmo,Shutd0wn,盘古那种就看 逆向的，或者 PWN 的题
2020-08-07 05:13:09,Shutd0wn,lengmo,陈曦
2020-08-07 05:13:42,lengmo,Shutd0wn,没有·
2020-08-07 05:14:03,lengmo,Shutd0wn,应该她还轮不到··一个学校最多 3支队，成信工都报了 4支队，都要减掉一支
2020-08-07 05:14:14,lengmo,Shutd0wn,现在他们谁不都想退出··还不知道最后怎么扯
2020-08-07 05:14:34,lengmo,Shutd0wn,
2020-08-07 05:15:18,Shutd0wn,lengmo,传媒学院过来做拉拉队的吗
2020-08-07 05:18:26,lengmo,Shutd0wn,不晓得
2020-08-07 05:18:33,lengmo,Shutd0wn,出题比较急了
2020-08-07 05:18:39,lengmo,Shutd0wn,黄乐急坏了
