time,message,translated,url,file,ip
2020-08-29 05:36:50,"吴海波 邀请您参加腾讯会议
会议主题：吴海波预定的会议
会议时间：2020/8/29 14:00-15:30

点击链接入会，或添加至会议列表：
https://meeting.tencent.com/s/4zEAlh2Uoc6x

会议 ID：612 649 561
会议密码：111222

手机一键拨号入会
+8675536550000,,612649561# (中国大陆)
+85230018898,,,2,612649561# (中国香港)

根据您的位置拨号
+8675536550000 (中国大陆)
+85230018898 (中国香港)","Wu Haibo invites you to join the Tencent meeting
Meeting topic: The meeting scheduled by Wu Haibo
Meeting time: 2020/8/29 14:00-15:30

Click the link to join the meeting or add it to your meeting list:
https://meeting.tencent.com/s/4zEAlh2Uoc6x

Meeting ID: 612 649 561
Meeting password: 111222

One-click mobile dial-in
+8675536550000,,612649561# (Mainland China)
+85230018898,,,2,612649561# (Hong Kong, China)

Dial in based on your location
+8675536550000 (Mainland China)
+85230018898 (Hong Kong, China)",https://meeting.tencent.com/s/4zEAlh2Uoc6x,,
2020-09-09 07:12:23,课程表2020_西安_内版.docx,2020 Class Schedule_Xi'an_Internal Version.docx,,doc,
2020-09-18 07:44:41,c404_indictment_0.docx,c404_indictment_0.docx has been successfully translated.,,doc,
2020-09-18 07:44:43,zhr_indictment_redacted_0.docx,zhr_indictment_redacted_0.docx,,doc,
2020-10-28 14:08:39,【xx】产教融合建设项目申报书20201028.docx,【xx】Integration of Industry and Education Construction Project Application 20201028.docx,,doc,
2021-02-02 11:04:48,tpyrced_打击整治涉网犯罪技术服务合同0201-大理.docx,Combat and Rectify Technology Service Contract for Online Crime 0201-Dali.docx,,doc,
2021-02-22 13:36:15,演示.rar,Presentation.rar,,rar,
2021-05-24 10:29:19,202063简报-模板展示.pdf,202063 Briefing-Template showcase.pdf,,pdf,
2021-07-12 10:29:44,比特信安数据脱敏系统saas服务业务模式主打胶片.pdf,BitTrust data desensitization system saas service business model main push film.pdf,,pdf,
2021-07-22 13:37:29,简历.doc,Resume.doc,,doc,
2021-10-15 07:29:32,"Hello,

We are writing to notify you that your application will be removed from the China App Store because it includes content that is illegal in China as determined by the CAC (Cyberspace Administration of China), which is not in compliance with the App Store Review Guidelines :

5. Legal
Apps must comply with all legal requirements in any location where you make them available (if you’re not sure, check with a lawyer). It is your responsibility to understand and make sure your app conforms with all local laws, not just the guidelines below. And of course, apps that solicit, promote, or encourage criminal or clearly reckless behavior will be rejected.

While your app has been removed from the China App Store, it is still available in the App Stores for the other territories you selected in App Store Connect. Even if you have not selected China as a salable territory in App Store Connect, your app will still be made unavailable on the China App Store.

For more information regarding the laws and requirements in China, we encourage you to reach out to the CAC (Cyberspace Administration of China) directly:

--------------------------------------------------
CAC (Cyberspace Administration of China)(国家互联网信息办公室)
Website: www.cac.gov.cn
--------------------------------------------------

Best regards,

App Store Review","Hello,

We are writing to notify you that your application will be removed from the China App Store because it includes content that is illegal in China as determined by the CAC (Cyberspace Administration of China), which is not in compliance with the App Store Review Guidelines:

5. Legal
Apps must comply with all legal requirements in any location where you make them available (if you’re not sure, check with a lawyer). It is your responsibility to understand and make sure your app conforms with all local laws, not just the guidelines below. And of course, apps that solicit, promote, or encourage criminal or clearly reckless behavior will be rejected.

While your app has been removed from the China App Store, it is still available in the App Stores for the other territories you selected in App Store Connect. Even if you have not selected China as a salable territory in App Store Connect, your app will still be made unavailable on the China App Store.

For more information regarding the laws and requirements in China, we encourage you to reach out to the CAC (Cyberspace Administration of China) directly:

--------------------------------------------------
CAC (Cyberspace Administration of China)(国家互联网信息办公室)
Website: www.cac.gov.cn
--------------------------------------------------

Best regards,

App Store Review",www.cac.gov.cn,,
2021-10-25 23:23:59,警校企合作模式.pdf,Police School Enterprise Cooperation Model.pdf,,pdf,
2021-11-02 02:42:55,"hi，这是我用百度网盘分享的文件~复制这段内容打开「百度网盘」APP即可获取。
链接：https://pan.baidu.com/s/1EykC-iTf6iMj_DoGY1aM9A 
提取码：yP6P --来自百度网盘超级会员V7的分享","hi, this is the file shared by me using Baidu Netdisk. Copy this content and open the ""Baidu Netdisk"" app to access it.
Link: https://pan.baidu.com/s/1EykC-iTf6iMj_DoGY1aM9A
Extraction code: yP6P --Shared from Baidu Netdisk Super VIP V7",https://pan.baidu.com/s/1EykC-iTf6iMj_DoGY1aM9A,,
2021-11-08 05:53:25,资料信息1.0.docx,Information 1.0.docx,,doc,
2021-11-09 04:27:52,资料信息2.0.docx,Data information 2.0.docx,,doc,
2022-01-11 02:42:05,关于海南、四川项目战略合作协议（太极-XX公司）20220110.doc,Regarding Hainan and Sichuan Project Strategic Cooperation Agreement (Taiji-XX Company) 20220110.doc,,doc,
2022-01-12 03:55:59,毅达资本公司简介 -2021年1月版.pdf,Yida Capital Company Introduction - January 2021 Edition.pdf,,pdf,
2022-03-07 05:52:51,"【骊】城佳肴
【宴】客宾朋
尊敬的贵宾：您好！欢迎莅临骊宴概念餐厅，您的用餐已预订成功！
【预定时间】：3月7日晚宴（周一）
【预定包间】：3号包间
【专属顾问】：彭乙煊
【联系电话】：19828254145
【高德导航】：https://surl.amap.com/9cMhnYJt0nf

骊宴概念餐厅，全体员工将竭诚为您服务，期待您的光临！","【Li】Cheng's fine cuisine
【Feast】for guests
Dear honored guest: Hello! Welcome to Li Yan concept restaurant, your reservation has been successfully booked!
【Reservation time】: Dinner on March 7th (Monday)
【Reserved private room】: Room No. 3
【Exclusive consultant】: Peng Yixuan
【Contact number】: 19828254145
【Gaode Navigation】: https://surl.amap.com/9cMhnYJt0nf

All staff at Li Yan concept restaurant will serve you wholeheartedly and look forward to your visit!",https://surl.amap.com/9cMhnYJt0nf,,
2022-03-08 07:13:22,关于海南、四川两地项目合作框架协议.pdf,Framework Agreement on Project Collaboration between Hainan and Sichuan.pdf,,pdf,
2022-03-08 07:34:29,关于海南、四川两地项目合作框架协议.pdf,Framework Agreement on Project Cooperation between Hainan and Sichuan.pdf,,pdf,
2022-03-08 08:46:41,BP - 安洵信息20220228.pdf,BP - Anxin Information 20220228.pdf,,pdf,
2022-03-10 00:04:28,战略合作协议（横琴中心&四川安洵）final.pdf,Strategic Cooperation Agreement (Hengqin Center & Sichuan Anxun) final.pdf,,pdf,
2022-05-24 03:41:18,前端销售反馈问题.doc,Front-end sales feedback issues.doc,,doc,
